title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Peaky Blinders,series,34,"['Drama', 'Crime']",294.056,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', ""Natasha O'Keeffe""]",,"['8/6/22', '8/6/22', '8/6/22', '8/6/22', '5/14/22', '5/14/22', '5/6/22', '5/1/22', '5/1/22', '5/1/22', '5/1/22', '4/30/22', '4/30/22', '4/24/22', '4/24/22', '4/24/22', '4/24/22', '4/23/22', '4/23/22', '4/23/22', '4/23/22', '4/22/22', '4/22/22', '4/18/22', '4/18/22', '4/18/22', '4/18/22', '4/18/22', '4/17/22', '4/16/22', '4/16/22', '4/16/22', '4/16/22', '4/16/22']",60574.0,2013-09-12
Violet Evergarden,series,1,"['Animation', 'Sci-Fi & Fantasy', 'Drama']",39.444,"['Yui Ishikawa', 'Daisuke Namikawa', 'Aya Endo', 'Haruka Tomatsu', 'Koki Uchiyama', 'Minori Chihara', 'Takehito Koyasu']",,['8/2/22'],75214.0,2018-01-11
The Good Doctor,series,3,['Drama'],354.881,"['Freddie Highmore', 'Fiona Gubelmann', 'Will Yun Lee', 'Christina Chang', 'Paige Spara', 'Bria Samoné Henderson', 'Noah Galvin', 'Hill Harper', 'Richard Schiff']",,"['7/31/22', '7/30/22', '7/29/22']",71712.0,2017-09-25
Ranczo,series,1,['Comedy'],13.343,"['Franciszek Pieczka', 'Bartek Kasprzykowski', 'Ilona Ostrowska', 'Paweł Królikowski', 'Cezary Żak', 'Piotr Pręgowski', 'Marta Lipińska', 'Bogdan Kalus', 'Sylwester Maciejewski', 'Violetta Arlak']",,['7/30/22'],33587.0,2006-03-05
Control Z,series,17,['Drama'],38.889,"['Ana Valeria Becerril', 'Michael Ronda', 'Yankel Stevan', 'Macarena García', 'Fiona Palomo', 'Andrés Baida', 'Patricio Gallardo', 'Xabiani Ponce de León', 'Patricia Maqueo']",,"['7/11/22', '7/11/22', '12/27/21', '12/27/21', '12/27/21', '12/27/21', '12/26/21', '12/26/21', '12/25/21', '12/24/21', '12/24/21', '12/24/21', '12/22/21', '12/22/21', '12/21/21', '12/21/21', '12/21/21']",102903.0,2020-05-22
The Legend of Korra,series,18,"['Action & Adventure', 'Animation', 'Drama', 'Family', 'Sci-Fi & Fantasy']",51.498,"['Janet Varney', 'David Faustino', 'P.J. Byrne', 'Seychelle Gabriel', 'J.K. Simmons', 'Maria Bamford', 'Kiernan Shipka', 'Darcy Rose Byrnes', 'Logan Wells', 'Dee Bradley Baker']",,"['6/30/22', '6/30/22', '6/27/22', '6/21/22', '6/21/22', '6/21/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/19/22', '6/19/22', '6/19/22', '6/19/22', '6/19/22']",33880.0,2012-04-14
Penguins of Madagascar,series,1,"['Animation', 'Comedy']",56.489,"['Nicole Sullivan', 'Tom McGrath', 'John DiMaggio', 'Danny Jacobs', 'Andy Richter', 'Jeff Bennett', 'James Patrick Stuart']",,['6/7/22'],7869.0,2008-11-28
Russian Doll,series,1,"['Comedy', 'Drama']",19.21,"['Natasha Lyonne', 'Charlie Barnett', 'Greta Lee', 'Chloë Sevigny', 'Elizabeth Ashley']",,['6/6/22'],84977.0,2019-02-01
Skins,series,13,"['Drama', 'Comedy']",63.091,[],,"['5/24/22', '5/19/22', '5/17/22', '5/16/22', '5/13/22', '5/13/22', '5/13/22', '5/12/22', '5/11/22', '5/11/22', '5/9/22', '5/8/22', '5/8/22']",900.0,2007-01-25
How to Get Away With Murder,series,2,"['Crime', 'Drama', 'Mystery']",80.013,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Rome Flynn', 'Aja Naomi King', 'Matt McGorry', 'Conrad Ricamora', 'Amirah Vann', 'Charlie Weber', 'Liza Weil']",,"['5/20/22', '5/20/22']",61056.0,2014-09-25
