title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Shooter,film,,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",,"['Mark Wahlberg', 'Michael Peña', 'Danny Glover', 'Kate Mara', 'Elias Koteas', 'Rhona Mitra', 'Jonathan Walker', 'Louis Ferreira', 'Tate Donovan', 'Rade Šerbedžija']",,,7485.0,2007-03-22
365 Days,film,,"['Romance', 'Drama']",,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna', 'Magdalena Lamparska', 'Otar Saralidze', 'Ewa Kasprzyk', 'Dariusz Jakubowski', 'Ramón Langa', 'Tomasz Mandes', 'Natalia Siwiec']",,,829560.0,2022-08-19
Good Will Hunting,film,,['Drama'],,"['Matt Damon', 'Robin Williams', 'Ben Affleck', 'Stellan Skarsgård', 'Minnie Driver', 'Casey Affleck', 'Cole Hauser', 'Vik Sahay', 'John Mighton', 'Rachel Majorowski']",,,489.0,1997-12-05
Death Note,film,,"['TV Movie', 'Crime', 'Drama', 'Fantasy', 'Thriller', 'Animation']",,"['Keiji Fujiwara', 'Aya Hirano', 'Hideo Ishikawa', 'Takuya Kirimoto', 'Hidenobu Kiuchi', 'Kiyoshi Kobayashi', 'Naoko Matsui', 'Mamoru Miyano', 'Miki Nagasawa', 'Ryou Naitou']",,,51482.0,2007-08-31
The Redeem Team,film,,['Documentary'],,"['Kobe Bryant', 'LeBron James', 'Carmelo Anthony', 'Dwyane Wade', 'Mike Krzyzewski', 'Chris Bosh', 'Carlos Boozer', 'Chris Paul', 'Dwight Howard', 'Doug Collins']",,,1018648.0,2022-10-07
Twilight,film,,"['Fantasy', 'Drama', 'Romance']",,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Cam Gigandet', 'Ashley Greene', 'Anna Kendrick', 'Nikki Reed', 'Taylor Lautner']",,,8966.0,2008-11-20
The Tinder Swindler,film,,"['Documentary', 'Crime']",,"['Shimon Yehuda Hayut', 'Cecilie Fjellhøy', 'Pernilla Sjöholm', 'Ayleen Charlotte', 'Kristoffer Kumar', 'Erlend Ofte Arntsen', 'Natalie Remøe Hansen']",,,923632.0,2022-02-02
Jackass 4.5,film,,"['Comedy', 'Action', 'Documentary']",,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Ehren McGhehey', 'Jason Acuña', 'Preston Lacy', 'Zach Holmes', 'Sean «Poopies» McInerney', 'Jasper Dolphin']",,,828853.0,2022-05-20
Inside the Mind of a Cat,film,,['Documentary'],,"['Yuki Hattori', 'Maryna Savitska', 'Svitlana Savytska', 'Wailani Sung', 'Kristin Vitale']",,,1003180.0,2022-08-18
Scary Movie,film,,['Comedy'],,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Shawn Wayans', 'Regina Hall', 'Shannon Elizabeth', 'Cheri Oteri', 'Carmen Electra', 'Tanja Reichert', 'Lochlyn Munro']",,,4247.0,2000-07-07
Barbie and the Magic of Pegasus,film,,"['Animation', 'Family', 'Romance']",,"['Kelly Sheridan', 'Kathleen Barr', 'Lalainia Lindbjerg', 'Colin Murdock', 'Mark Hildreth', 'Brian Drummond', 'Russell Roberts', 'John DeSantis', 'Chantal Strand', 'Andrea Libman']",,,15906.0,2005-10-04
The Conjuring,film,,"['Horror', 'Thriller']",,"['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor', 'Ron Livingston', 'Mackenzie Foy', 'Joey King', 'Shannon Kook', 'John Brotherton', 'Hayley McFarland', 'Shanley Caswell']",,,138843.0,2013-07-18
Hustle,film,,"['Drama', 'Comedy']",,"['Adam Sandler', 'Queen Latifah', 'Juancho Hernangómez', 'Ben Foster', 'Kenny Smith', 'Anthony Edwards', 'Robert Duvall', 'Jordan Hull', 'María Botto', 'Ainhoa Pillet']",,,705861.0,2022-06-03
Interceptor,film,,"['Action', 'Thriller', 'Adventure']",,"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Belinda Jombwe', 'Mayen Mehta', 'Paul Caesar', 'Marcus Johnson', 'Rhys Muldoon', 'Colin Friels', 'Zoe Carides']",,,831946.0,2022-05-26
Gierek,film,,['Drama'],,"['Michał Koterski', 'Małgorzata Kożuchowska', 'Antoni Pawlicki', 'Sebastian Stankiewicz', 'Rafał Zawierucha', 'Agnieszka Więdłocha', 'Ewa Ziętek', 'Jan Frycz', 'Krzysztof Tyniec', 'Mikołaj Roznerski']",,,879837.0,2022-01-28
Along for the Ride,film,,"['Romance', 'Drama']",,"['Emma Pasarow', 'Belmont Cameli', 'Kate Bosworth', 'Andie MacDowell', 'Laura Kariuki', 'Dermot Mulroney', 'Genevieve Hannelius', 'Samia Finnerty', 'Paul Karmiryan', 'Marcus Scribner']",,,778106.0,2022-05-06
Furioza,film,,"['Drama', 'Action', 'Crime']",,"['Mateusz Banasiuk', 'Weronika Książkiewicz', 'Mateusz Damięcki', 'Łukasz Simlat', 'Wojciech Zieliński', 'Szymon Bobrowski', 'Janusz Chabior', 'Sebastian Stankiewicz', 'Konrad Eleryk', 'Paulina Gałązka']",,,866678.0,2021-10-22
How I Fell in Love with a Gangster,film,,"['Crime', 'Drama']",,"['Tomasz Włosok', 'Aleks Kurdzielewicz', 'Antoni Królikowski', 'Agnieszka Grochowska', 'Magdalena Lamparska', 'Krystyna Janda', 'Klaudiusz Kaufmann', 'Eryk Lubos', 'Sebastian Fabijański', 'Julia Wieniawa-Narkiewicz']",,,809972.0,2022-01-05
Don't Look Up,film,,"['Science Fiction', 'Comedy', 'Drama']",,"['Jennifer Lawrence', 'Leonardo DiCaprio', 'Meryl Streep', 'Rob Morgan', 'Jonah Hill', 'Cate Blanchett', 'Mark Rylance', 'Tyler Perry', 'Timothée Chalamet', 'Ron Perlman']",,,646380.0,2021-12-07
The Unforgivable,film,,"['Drama', 'Crime']",,"['Sandra Bullock', 'Viola Davis', ""Vincent D'Onofrio"", 'Jon Bernthal', 'Richard Thomas', 'Linda Emond', 'Aisling Franciosi', 'Emma Nelson', 'Will Pullen', 'Tom Guiry']",,,645886.0,2021-11-24
