title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
13 Reasons Why,series,50,,,,,"['6/19/20', '6/19/20', '6/18/20', '6/18/20', '6/18/20', '6/18/20', '6/18/20', '6/18/20', '6/17/20', '6/17/20', '2/29/20', '2/29/20', '2/29/20', '2/29/20', '2/28/20', '2/28/20', '2/28/20', '2/28/20', '2/27/20', '2/27/20', '2/26/20', '2/24/20', '2/23/20', '2/22/20', '2/21/20', '2/20/20', '2/19/20', '2/17/20', '2/17/20', '2/12/20', '2/11/20', '2/11/20', '2/10/20', '2/9/20', '2/6/20', '2/5/20', '2/4/20', '2/4/20', '2/3/20', '2/3/20', '2/3/20', '2/2/20', '2/2/20', '2/2/20', '2/1/20', '2/1/20', '2/1/20', '1/31/20', '1/31/20', '1/30/20']",,
The Big Bang Theory,series,4,,,,,"['6/19/20', '12/19/19', '12/19/19', '12/19/19']",,
The Last Dance,series,10,,,,,"['6/17/20', '6/17/20', '6/17/20', '6/16/20', '6/16/20', '6/15/20', '6/15/20', '6/14/20', '6/13/20', '6/13/20']",,
Limitless,series,22,,,,,"['4/12/20', '3/12/20', '3/12/20', '3/11/20', '3/9/20', '3/7/20', '3/5/20', '3/5/20', '3/4/20', '3/4/20', '3/4/20', '3/4/20', '3/3/20', '3/3/20', '3/2/20', '3/2/20', '3/2/20', '3/2/20', '3/1/20', '3/1/20', '3/1/20', '2/29/20']",,
Black Mirror,series,1,,,,,['4/5/20'],,
Money Heist,series,38,,,,,"['4/5/20', '4/5/20', '4/5/20', '4/4/20', '4/4/20', '4/4/20', '4/4/20', '4/3/20', '4/3/20', '4/3/20', '4/3/20', '4/2/20', '4/2/20', '4/2/20', '4/2/20', '4/1/20', '1/11/20', '7/26/19', '7/26/19', '7/26/19', '7/19/19', '7/18/19', '7/12/19', '7/12/19', '7/10/19', '7/10/19', '7/8/19', '7/8/19', '7/7/19', '7/7/19', '7/7/19', '7/6/19', '7/6/19', '7/4/19', '7/4/19', '7/2/19', '7/2/19', '7/1/19']",,
Travis Scott,series,1,,,,,['3/22/20'],,
Daybreak,series,1,,,,,['3/22/20'],,
Breaking Bad,series,3,,,,,"['3/21/20', '3/21/20', '9/2/19']",,
Exorcist,series,3,,,,,"['3/21/20', '12/22/19', '12/22/19']",,
Prison Break,series,1,,,,,['12/27/19'],,
SpongeBob SquarePants,series,1,,,,,['12/21/19'],,
The End of the F***ing World,series,16,,,,,"['12/8/19', '12/8/19', '12/8/19', '12/8/19', '12/8/19', '12/6/19', '12/6/19', '12/6/19', '9/21/19', '9/21/19', '9/21/19', '9/21/19', '9/21/19', '9/20/19', '9/20/19', '9/20/19']",,
Narcos,series,28,,,,,"['12/6/19', '12/6/19', '12/6/19', '12/6/19', '11/15/19', '11/15/19', '11/14/19', '11/10/19', '11/10/19', '11/10/19', '11/7/19', '11/6/19', '11/5/19', '11/4/19', '11/3/19', '11/3/19', '11/3/19', '11/3/19', '11/2/19', '11/2/19', '11/1/19', '11/1/19', '11/1/19', '10/31/19', '10/26/19', '10/26/19', '10/26/19', '10/21/19']",,
House of Cards,series,34,,,,,"['11/10/19', '9/20/19', '9/15/19', '9/13/19', '9/12/19', '9/7/19', '9/7/19', '9/7/19', '9/4/19', '8/31/19', '8/29/19', '8/26/19', '8/25/19', '8/25/19', '8/15/19', '8/12/19', '8/10/19', '8/10/19', '8/10/19', '8/9/19', '8/9/19', '8/9/19', '8/7/19', '8/6/19', '8/5/19', '8/4/19', '8/2/19', '8/2/19', '8/2/19', '8/1/19', '8/1/19', '8/1/19', '8/1/19', '8/1/19']",,
Johnny Test,series,1,,,,,['9/21/19'],,
How I Met Your Mother,series,1,,,,,['9/20/19'],,
Rick and Morty,series,4,,,,,"['9/10/19', '8/16/19', '8/16/19', '8/11/19']",,
Basketball or Nothing,series,1,,,,,['8/17/19'],,
Beyond Stranger Things,series,1,,,,,['7/31/19'],,
Phineas and Ferb,series,4,,,,,"['7/12/19', '7/3/19', '7/3/19', '7/3/19']",,
