title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Ouija,film,1,['Horror'],29.068,"['Olivia Cooke', 'Ana Coto', 'Matthew Settle', 'Shelley Hennig', 'Daren Kagasoff', 'Bianca A. Santos', 'Douglas Smith', 'Robyn Lively', 'Sierra Huermann', 'Lin Shaye']",5039,[['2018-02-09']],242512,2014-10-24
The Space Between Us,film,1,"['Romance', 'Adventure', 'Science Fiction', 'Drama']",15.756,"['Asa Butterfield', 'Britt Robertson', 'Carla Gugino', 'Gary Oldman', 'Janet Montgomery', 'David House', 'Sarah Minnich', 'John-Paul Howard', 'BD Wong', 'Mia Stallard']",74,[['2018-01-24']],365942,2017-01-26
The Last Airbender,film,4,"['Action', 'Adventure', 'Fantasy']",37.06,"['Noah Ringer', 'Dev Patel', 'Nicola Peltz Beckham', 'Summer Bishil', 'Jackson Rathbone', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis', 'Seychelle Gabriel', 'Katharine Houghton']",5727,"[['2018-01-20', '2018-01-18', '2017-11-26', '2017-11-25']]",10196,2010-06-30
The Choice,film,1,"['Drama', 'Romance']",17.826,"['Benjamin Walker', 'Teresa Palmer', 'Maggie Grace', 'Alexandra Daddario', 'Tom Welling', 'Tom Wilkinson', 'Jesse C. Boyd', 'Brad James', 'Noree Victoria', 'Anna Enger Ritch']",327,[['2018-01-06']],330483,2016-02-04
The Last Song,film,3,"['Drama', 'Family', 'Romance']",13.519,"['Miley Cyrus', 'Greg Kinnear', 'Bobby Coleman', 'Liam Hemsworth', 'Hallock Beals', 'Kelly Preston', 'Nick Lashaway', 'Carly Chaikin', 'Kate Vernon', 'Melissa Ordway']",6281,"[['2017-12-30', '2017-12-30', '2017-12-30']]",35690,2010-03-31
Spy Kids,film,1,"['Action', 'Comedy', 'Family', 'Adventure']",25.745,"['Alexa PenaVega', 'Daryl Sabara', 'Antonio Banderas', 'Carla Gugino', 'Alan Cumming', 'Tony Shalhoub', 'Teri Hatcher', 'Robert Patrick', 'Dick Clark', 'George Clooney']",7862,"[['2017-12-21', '2017-12-17']]",10054,2001-03-18
Freaky Friday,film,1,"['Comedy', 'Family', 'Fantasy']",20.149,"['Lindsay Lohan', 'Jamie Lee Curtis', 'Harold Gould', 'Chad Michael Murray', 'Mark Harmon', 'Stephen Tobolowsky', 'Christina Vidal', 'Ryan Malgarini', 'Haley Hudson', 'Rosalind Chao']",5403,[['2017-12-16']],10330,2003-08-05
Zapped,film,2,"['TV Movie', 'Comedy', 'Family']",11.241,"['Zendaya', 'Chanelle Peloso', 'Spencer Boldman', 'Emilia McCarthy', 'Adam DiMarco', 'William Ainscough', 'Aleks Paunovic', 'Lucia Walters', 'Jedidiah Goodacre', 'Louriza Tronco']",5490,"[['2017-12-01', '2017-12-01']]",278774,2014-06-27
Radio Rebel,film,2,"['Comedy', 'Drama', 'Family', 'TV Movie']",10.406,"['Debby Ryan', 'Sarena Parmar', 'Adam DiMarco', 'Atticus Mitchell', 'Merritt Patterson', 'Allie Bertram', 'Iain Belcher', 'Rowen Kahn', 'Nancy Robertson', 'Martin Cummins']",5386,"[['2017-12-01', '2017-12-01']]",89185,2012-06-09
Pretty Woman,film,2,"['Comedy', 'Romance']",84.721,"['Richard Gere', 'Julia Roberts', 'Ralph Bellamy', 'Jason Alexander', 'Laura San Giacomo', 'Alex Hyde-White', 'Amy Yasbeck', 'Elinor Donahue', 'Hector Elizondo', 'Judith Baldwin']",7128,"[['2017-11-25', '2017-11-25']]",114,1990-03-23
Shrek 2,film,1,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",74.447,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas', 'John Cleese', 'Rupert Everett', 'Jennifer Saunders', 'Aron Warner', 'Kelly Asbury']",1229,[['2017-10-17']],809,2004-05-19
Shrek,film,1,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",86.656,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow', 'Vincent Cassel', 'Peter Dennis', 'Clive Pearse', 'Jim Cummings', 'Bobby Block', 'Chris Miller']",5007,[['2017-10-17']],808,2001-05-18
Maleficent,film,2,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",105.829,"['Angelina Jolie', 'Elle Fanning', 'Imelda Staunton', 'Sharlto Copley', 'Lesley Manville', 'Juno Temple', 'Sam Riley', 'Brenton Thwaites', 'Kenneth Cranham', 'Sarah Flind']",5347,"[['2017-10-16', '2017-10-16']]",102651,2014-05-28
The Parent Trap,film,5,"['Comedy', 'Family']",63.901,"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson', 'Elaine Hendrix', 'Lisa Ann Walter', 'Simon Kunz', 'Ronnie Stevens', 'Michael Lohan Jr.', 'Kat Graham', 'Lisa Cloud']",7785,"[['2017-10-14', '2017-10-14', '2017-10-12', '2017-10-12', '2017-10-12']]",9820,1998-07-28
Sister Act,film,2,"['Music', 'Comedy']",17.74,"['Whoopi Goldberg', 'Maggie Smith', 'Kathy Najimy', 'Wendy Makkena', 'Mary Wickes', 'Harvey Keitel', 'Bill Nunn', 'Robert Miranda', 'Richard Portnow', 'Ellen Albertini Dow']",5905,"[['2017-10-08', '2017-10-07']]",2005,1992-05-28
Pitch Perfect 2,film,2,"['Comedy', 'Music']",38.83,"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Hailee Steinfeld', 'Skylar Astin', 'Ben Platt', 'Ester Dean', 'Hana Mae Lee', 'Alexis Knapp', 'Chrissie Fit']",6481,"[['2017-09-30', '2017-09-30']]",254470,2015-05-07
The Incredibles,film,2,"['Action', 'Adventure', 'Animation', 'Family']",58.399,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee', 'Samuel L. Jackson', 'Elizabeth Peña', 'Eli Fucile', 'Maeve Andrews', 'Brad Bird']",1521,"[['2017-09-12', '2017-09-11']]",9806,2004-10-27
Lion,film,2,['Drama'],18.627,"['Dev Patel', 'Rooney Mara', 'David Wenham', 'Nicole Kidman', 'Abhishek Bharate', 'Divian Ladwa', 'Priyanka Bose', 'Deepti Naval', 'Tannishtha Chatterjee', 'Nawazuddin Siddiqui']",7105,"[['2017-08-27', '2017-08-27']]",334543,2016-11-24
Hop,film,1,"['Animation', 'Comedy', 'Family']",18.468,"['Russell Brand', 'James Marsden', 'Kaley Cuoco', 'Hank Azaria', 'Elizabeth Perkins', 'Gary Cole', 'Hugh Laurie', 'David Hasselhoff', 'Chelsea Handler', 'Dustin Ybarra']",5632,[['2017-08-27']],50359,2011-03-30
