title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Dirty Dancing,film,,"['Drama', 'Music', 'Romance']",,"['Jennifer Grey', 'Patrick Swayze', 'Jerry Orbach', 'Cynthia Rhodes', 'Jack Weston', 'Jane Brucker', 'Kelly Bishop', 'Lonny Price', 'Max Cantor', 'Charles ""Honi"" Coles']",,,88.0,1987-08-21
The Big Short,film,,"['Comedy', 'Drama']",,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt', 'Melissa Leo', 'Hamish Linklater', 'John Magaro', 'Rafe Spall', 'Jeremy Strong', 'Finn Wittrock']",,,318846.0,2015-12-11
The Social Network,film,,['Drama'],,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake', 'Armie Hammer', 'Max Minghella', 'Rooney Mara', 'Brenda Song', 'Rashida Jones', 'John Getz', 'David Selby']",,,37799.0,2010-10-01
6 Underground,film,,"['Action', 'Comedy', 'Thriller']",,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy', 'Adria Arjona', 'Dave Franco', 'Corey Hawkins', 'Lior Raz', 'Payman Maadi', 'Yuri Kolokolnikov']",,,509967.0,2019-12-13
Sex and the City 2,film,,"['Comedy', 'Drama', 'Romance']",,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'Chris Noth', 'David Eigenberg', 'Evan Handler', 'Liza Minnelli', 'Willie Garson', 'Mario Cantone']",,,37786.0,2010-05-26
Fifty Shades Freed,film,,"['Drama', 'Romance']",,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Luke Grimes', 'Rita Ora', 'Eloise Mumford', 'Victor Rasuk', 'Marcia Gay Harden', 'Andrew Airlie', 'Max Martini']",,,337167.0,2018-01-17
My Perfect Romance,film,,"['Romance', 'TV Movie']",,"['Kimberly-Sue Murray', 'Christopher Russell', 'Jodie Sweetin', 'Lauren Holly', 'Morgan Fairchild', 'Josh Dean', 'Andy Yu', 'Zarrin Darnell-Martin', 'Celine Tsai', 'Fodé Bangoura']",,,503403.0,2018-02-14
A Christmas Prince,film,,"['Romance', 'TV Movie']",,"['Rose McIver', 'Ben Lamb', 'Alice Krige', 'Honor Kneafsey', 'Theo Devaney', 'Sarah Douglas', 'Emma Louise Saunders', 'Tom Knight', 'Daniel Fathers', 'Richard Ashton']",,,483104.0,2017-11-17
The Princess Switch,film,,"['Romance', 'Comedy']",,"['Vanessa Hudgens', 'Sam Palladio', 'Nick Sagar', 'Alexa Adeosun', 'Suanne Braun', 'Mark Fleischmann', 'Sara Stewart', 'Pavel Douglas', 'Amy Griffiths', 'Robin Soans']",,,556803.0,2018-11-16
Christmas Wedding Planner,film,,"['Romance', 'Family', 'TV Movie']",,"['Jocelyn Hudon', 'Stephen Huszar', 'Kelly Rutherford', 'Joey Fatone', 'Eric Hicks', 'Rebecca Dalton', 'Melinda Shankar', 'Gabrielle Graham', 'Samantha Helt', 'Celeste Desjardins']",,,488113.0,2020-04-28
Christmas With A View,film,,"['Romance', 'Family', 'TV Movie']",,"['Kaitlyn Leeb', 'Scott Cavalheiro', 'Joseph Cannata', 'Vivica A. Fox', 'Patrick Duffy', 'Nicole Stamp', 'Genevieve Kang', 'Mark Ghanimé', 'Jess Walton', 'Brigitte Kingsley']",,,550385.0,2018-11-01
The Holiday Calendar,film,,"['Romance', 'Comedy', 'Family']",,"['Kat Graham', 'Quincy Brown', 'Ethan Peck', 'Ron Cephas Jones', 'Genelle Williams', 'Laura de Carteret', 'Kevin Hanchard', 'Ali Hassan', 'Rodrigo Fernandez-Stoll', 'Romaine Waite']",,,555850.0,2018-11-02
The Knight Before Christmas,film,,"['Comedy', 'Romance']",,"['Vanessa Hudgens', 'Josh Whitehouse', 'Emmanuelle Chriqui', 'Harry Jarvis', 'Ella Kenion', 'Isabelle Franca', 'Mimi Gianopulos', 'Jean-Michel Le Gal', 'Arnold Pinnock', 'Scott Ryan Yamamura']",,,611207.0,2019-11-21
Holiday in the Wild,film,,"['Romance', 'Comedy']",,"['Rob Lowe', 'Kristin Davis', 'Fezile Mpela', 'John Owen Lowe', 'Colin Moss', 'Hayley Owen', 'Faniswa Yisa', 'Thandi Puren', 'Renate Stuurman', 'Lynita Crofford']",,,531438.0,2019-11-06
Tall Girl,film,,"['Comedy', 'Drama', 'Romance']",,"['Ava Michelle', 'Sabrina Carpenter', 'Steve Zahn', 'Griffin Gluck', 'Clara Wilsey', 'Paris Berelc', 'Angela Kinsey', 'Bria Condon', 'Luke Eisner', 'Anjelika Washington']",,,625450.0,2019-09-13
