,Date,Artist,Title,Time
347,2023-04-11 13:56,Marshmello,Bye Bye,108498
348,2023-04-11 13:54,Wiz Khalifa,Black and Yellow,217666
349,2023-04-11 13:51,G-Unit,Collapse - G-Unit Freestyle,97653
350,2023-04-11 13:49,Eminem,Mockingbird,250760
351,2023-04-11 13:45,Tate McRae,that way,28852
352,2023-04-10 00:15,The Walkers,Unity,143654
353,2023-04-10 00:13,Duncan Laurence,Arcade (feat. FLETCHER),187453
354,2023-04-10 00:10,Juice WRLD,Lucid Dreams,239835
355,2023-04-10 00:06,Aymi,W mojej bluzie,139019
356,2023-04-10 00:04,Ruth B.,Dandelions - slowed + reverb,268717
357,2023-04-10 00:00,SAPPHIRE,Unity (Acoustic),180521
358,2023-04-09 23:57,Kacper HTA,Zbrodnia i kara,271926
359,2023-04-09 23:52,He Is We,I Wouldn't Mind,200059
360,2023-04-09 23:49,Bryan,Na zawsze,186812
361,2023-04-09 23:46,obi,Presja,168602
362,2023-04-09 23:43,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
363,2023-04-09 23:40,Veason,Skarbie,187384
364,2023-04-09 23:37,Sasha Alex Sloan,Older,191001
365,2023-04-09 23:34,Jacob Lee,Silhouette,301803
366,2023-04-09 23:29,Cheriimoya,"Living Life, In The Night",122517
367,2023-04-09 23:27,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
368,2023-04-09 23:23,John Mamann,Love Life - French Version,173104
369,2023-04-09 23:20,sanah,Hymn (J. Słowacki),252000
370,2023-04-09 23:16,sanah,najlepszy dzień w moim życiu,251500
371,2023-04-09 23:12,Białas,"Mali ludzie, wielkie nieba",239995
372,2023-04-09 23:08,Doli,spadająca gwiazda,143227
373,2023-04-09 23:06,Alex & Sierra,Little Do You Know,185200
374,2023-04-09 23:03,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
375,2023-04-09 22:59,Bryan,Ile dałbym,127389
376,2023-04-09 22:57,Kygo,Stargazing,236853
377,2023-04-09 22:54,Sasha Alex Sloan,Dancing With Your Ghost,197732
378,2023-04-09 22:50,Ola Olszewska,Czy To Nadal Ja,201461
379,2023-04-09 22:47,Robin Hustin,Light It Up,185390
380,2023-04-09 22:44,SAPPHIRE,Unity (Acoustic),11468
381,2023-04-09 22:44,Kygo,Stargazing,236853
382,2023-04-09 22:40,He Is We,I Wouldn't Mind,200059
383,2023-04-09 22:37,Juice WRLD,Lucid Dreams,239835
384,2023-04-09 22:33,Sasha Alex Sloan,Dancing With Your Ghost,197732
385,2023-04-09 22:30,The Walkers,Unity,204533
386,2023-04-09 22:26,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
387,2023-04-09 22:23,Bryan,Travis,118378
388,2023-04-09 22:21,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
389,2023-04-09 22:18,Sasha Alex Sloan,Older,191001
390,2023-04-09 22:15,Ola Olszewska,Czy To Nadal Ja,201461
391,2023-04-09 22:11,sanah,Hymn (J. Słowacki),252000
392,2023-04-09 22:07,Kacper HTA,Zbrodnia i kara,271926
393,2023-04-09 22:03,Jubël,4AM (feat. HOLT.),194195
394,2023-04-09 22:00,Jacob Lee,Silhouette,301803
395,2023-04-09 21:55,Aymi,W mojej bluzie,139019
396,2023-04-09 21:53,Bryan,Ile dałbym,127389
397,2023-04-09 21:51,Alex & Sierra,Little Do You Know,185200
398,2023-04-09 21:48,Doli,spadająca gwiazda,143227
399,2023-04-09 21:45,Bryan,Na zawsze,186812
400,2023-04-09 21:42,Veason,Skarbie,187384
401,2023-04-09 21:39,Duncan Laurence,Arcade (feat. FLETCHER),187453
402,2023-04-09 21:36,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
403,2023-04-09 21:32,Cheriimoya,"Living Life, In The Night",122517
404,2023-04-09 21:30,Jaymes Young,Infinity,237720
405,2023-04-09 21:27,Robin Hustin,Light It Up,185390
406,2023-04-09 21:23,Ruth B.,Dandelions - slowed + reverb,228644
407,2023-04-09 21:20,sanah,Hymn (J. Słowacki),252000
408,2023-04-09 21:16,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
409,2023-04-09 21:12,JP Saxe,If the World Was Ending (feat. Julia Michaels),9944
410,2023-04-09 21:12,Bryan,Ile dałbym,127389
411,2023-04-09 21:10,sanah,Hymn (J. Słowacki),107364
